datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2019-06-15;Obernau;14.9;11.04;74.09;https://www.bra.nrw.de/system/files/media/document/file/19_06_15.pdf
2019-07-01;Breitenbach;7.8;5.83;74.74;https://www.bra.nrw.de/system/files/media/document/file/19_07_01.pdf
2019-07-01;Obernau;14.9;10.56;70.87;https://www.bra.nrw.de/system/files/media/document/file/19_07_01.pdf
2019-07-15;Breitenbach;7.8;5.58;71.54;https://www.bra.nrw.de/system/files/media/document/file/19_07_15.pdf
2019-07-15;Obernau;14.9;10.19;68.39;https://www.bra.nrw.de/system/files/media/document/file/19_07_15.pdf
2019-08-01;Breitenbach;7.8;5.28;67.69;https://www.bra.nrw.de/system/files/media/document/file/19_08_01.pdf
2019-08-01;Obernau;14.9;9.74;65.37;https://www.bra.nrw.de/system/files/media/document/file/19_08_01.pdf
2019-08-15;Breitenbach;7.8;5.08;65.13;https://www.bra.nrw.de/system/files/media/document/file/19_08_15.pdf
2019-08-15;Obernau;14.9;9.41;63.15;https://www.bra.nrw.de/system/files/media/document/file/19_08_15.pdf
2019-09-01;Breitenbach;7.8;4.81;61.67;https://www.bra.nrw.de/system/files/media/document/file/19_09_01.pdf
2019-09-01;Obernau;14.9;8.93;59.93;https://www.bra.nrw.de/system/files/media/document/file/19_09_01.pdf
2019-09-15;Breitenbach;7.8;4.59;58.85;https://www.bra.nrw.de/system/files/media/document/file/19_09_15.pdf
2019-09-15;Obernau;14.9;8.53;57.25;https://www.bra.nrw.de/system/files/media/document/file/19_09_15.pdf
2019-10-01;Breitenbach;7.8;4.4;56.41;https://www.bra.nrw.de/system/files/media/document/file/19_10_01.pdf
2019-10-01;Obernau;14.9;8.2;55.03;https://www.bra.nrw.de/system/files/media/document/file/19_10_01.pdf
2019-10-15;Breitenbach;7.8;4.29;55.0;https://www.bra.nrw.de/system/files/media/document/file/19_10_15.pdf
2019-10-15;Obernau;14.9;8.1;54.36;https://www.bra.nrw.de/system/files/media/document/file/19_10_15.pdf
2019-11-01;Breitenbach;7.8;4.29;55.0;https://www.bra.nrw.de/system/files/media/document/file/19_11_01.pdf
2019-11-01;Obernau;14.9;8.16;54.77;https://www.bra.nrw.de/system/files/media/document/file/19_11_01.pdf
2019-11-15;Breitenbach;7.8;4.44;56.92;https://www.bra.nrw.de/system/files/media/document/file/19_11_15.pdf
2019-11-15;Obernau;14.9;8.33;55.91;https://www.bra.nrw.de/system/files/media/document/file/19_11_15.pdf
