datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
2000-02-01;Obernautalsperre;91.34;13.61;https://web.archive.org/web/20030512125917id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_02_00.html
2000-02-15;Breitenbachtalsperre;85.51;6.67;https://web.archive.org/web/20030512131222id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_02_00.html
2000-02-15;Obernautalsperre;94.63;14.1;https://web.archive.org/web/20030512131222id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_02_00.html
2000-03-15;Breitenbachtalsperre;92.05;7.18;https://web.archive.org/web/20030512131256id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_03_00.html
2000-03-15;Obernautalsperre;96.91;14.44;https://web.archive.org/web/20030512131256id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_03_00.html
2000-04-01;Breitenbachtalsperre;96.54;7.53;https://web.archive.org/web/20030926100623id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_04_00.html
2000-04-01;Obernautalsperre;64.77;9.65;https://web.archive.org/web/20030926100623id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_04_00.html
2000-04-15;Breitenbachtalsperre;95.9;7.48;https://web.archive.org/web/20030512125647id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_04_00.html
2000-04-15;Obernautalsperre;96.91;14.44;https://web.archive.org/web/20030512125647id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_04_00.html
2000-05-01;Breitenbachtalsperre;94.49;7.37;https://web.archive.org/web/20030926100440id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_05_00.html
2000-05-01;Obernautalsperre;95.1;14.17;https://web.archive.org/web/20030926100440id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_05_00.html
2000-05-15;Breitenbachtalsperre;95.77;7.47;https://web.archive.org/web/20030515074521id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_05_00.html
2000-05-15;Obernautalsperre;92.62;13.8;https://web.archive.org/web/20030515074521id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_05_00.html
2000-06-01;Breitenbachtalsperre;93.97;7.33;https://web.archive.org/web/20030512130247id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_06_00.html
2000-06-01;Obernautalsperre;90.4;13.47;https://web.archive.org/web/20030512130247id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_06_00.html
2000-06-15;Breitenbachtalsperre;101.41;7.91;https://web.archive.org/web/20030512125636id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_06_00.html
2000-06-15;Obernautalsperre;89.06;13.27;https://web.archive.org/web/20030512125636id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_06_00.html
2000-07-01;Breitenbachtalsperre;88.72;6.92;https://web.archive.org/web/20030926100908id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_07_00.html
2000-07-01;Obernautalsperre;86.04;12.82;https://web.archive.org/web/20030926100908id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_07_00.html
2000-07-15;Breitenbachtalsperre;86.54;6.75;https://web.archive.org/web/20030512130240id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_07_00.html
2000-08-01;Breitenbachtalsperre;85.9;6.7;https://web.archive.org/web/20030512130540id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_08_00.html
2000-08-01;Obernautalsperre;84.77;12.63;https://web.archive.org/web/20030512130540id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_08_00.html
2000-08-15;Breitenbachtalsperre;84.49;6.59;https://web.archive.org/web/20030926102154id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_08_00.html
2000-08-15;Obernautalsperre;83.69;12.47;https://web.archive.org/web/20030926102154id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_08_00.html
2000-09-01;Breitenbachtalsperre;82.18;6.41;https://web.archive.org/web/20030512130632id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_09_00.html
2000-09-01;Obernautalsperre;81.54;12.15;https://web.archive.org/web/20030512130632id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_09_00.html
2000-09-15;Breitenbachtalsperre;80.51;6.28;https://web.archive.org/web/20030512130456id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_09_00.html
2000-09-15;Obernautalsperre;81.14;12.09;https://web.archive.org/web/20030512130456id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_09_00.html
